mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_nn__activation,param_nn__alpha,param_nn__batch_size,param_nn__hidden_layer_sizes,param_nn__learning_rate_init,param_nn__max_iter,param_nn__solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1041.3038946151732,147.19611204594642,1.203144121170044,0.4250087927493352,relu,0.0002,35,"(160, 120, 60)",0.001,500,adam,"{'nn__activation': 'relu', 'nn__alpha': 0.0002, 'nn__batch_size': 35, 'nn__hidden_layer_sizes': (160, 120, 60), 'nn__learning_rate_init': 0.001, 'nn__max_iter': 500, 'nn__solver': 'adam'}",-1573.7525596852722,-1593.8939292290265,-1590.019312697078,-1541.1192458194755,-1595.208327087591,-1578.7986749036886,20.338381230292157,31
1044.038615179062,146.90944908933562,1.0127131462097168,0.31587266128615976,relu,0.0002,35,"(160, 120, 60)",0.001,650,adam,"{'nn__activation': 'relu', 'nn__alpha': 0.0002, 'nn__batch_size': 35, 'nn__hidden_layer_sizes': (160, 120, 60), 'nn__learning_rate_init': 0.001, 'nn__max_iter': 650, 'nn__solver': 'adam'}",-1573.7525596852722,-1593.8939292290265,-1590.019312697078,-1541.1192458194755,-1595.208327087591,-1578.7986749036886,20.338381230292157,31
688.5681725978851,122.01678958400304,0.7550440788269043,0.049906632142664886,relu,5e-05,35,"(150, 100, 50)",0.002,650,adam,"{'nn__activation': 'relu', 'nn__alpha': 5e-05, 'nn__batch_size': 35, 'nn__hidden_layer_sizes': (150, 100, 50), 'nn__learning_rate_init': 0.002, 'nn__max_iter': 650, 'nn__solver': 'adam'}",-1578.2450072645497,-1569.9893799215529,-1601.2199357112365,-1583.1648791669747,-1565.577080335377,-1579.6392564799382,12.41744400271559,33
672.6049406051636,115.57891001535667,0.7961360454559326,0.03330247651784352,relu,5e-05,35,"(150, 100, 50)",0.002,500,adam,"{'nn__activation': 'relu', 'nn__alpha': 5e-05, 'nn__batch_size': 35, 'nn__hidden_layer_sizes': (150, 100, 50), 'nn__learning_rate_init': 0.002, 'nn__max_iter': 500, 'nn__solver': 'adam'}",-1578.2450072645497,-1569.9893799215529,-1601.2199357112365,-1583.1648791669747,-1565.577080335377,-1579.6392564799382,12.41744400271559,33
812.4813148021698,155.19182691188018,0.8194061756134033,0.06751453439610508,relu,0.0002,32,"(160, 120, 60)",0.002,650,adam,"{'nn__activation': 'relu', 'nn__alpha': 0.0002, 'nn__batch_size': 32, 'nn__hidden_layer_sizes': (160, 120, 60), 'nn__learning_rate_init': 0.002, 'nn__max_iter': 650, 'nn__solver': 'adam'}",-1554.510514893429,-1565.428913590633,-1602.2974745970753,-1593.6899538580803,-1584.4770427594815,-1580.0807799397396,17.701038981188827,35
829.6488160610199,157.35225606221329,0.8102001667022705,0.04910974938233312,relu,0.0002,32,"(160, 120, 60)",0.002,500,adam,"{'nn__activation': 'relu', 'nn__alpha': 0.0002, 'nn__batch_size': 32, 'nn__hidden_layer_sizes': (160, 120, 60), 'nn__learning_rate_init': 0.002, 'nn__max_iter': 500, 'nn__solver': 'adam'}",-1554.510514893429,-1565.428913590633,-1602.2974745970753,-1593.6899538580803,-1584.4770427594815,-1580.0807799397396,17.701038981188827,35
1335.2249006271363,260.98352898492385,0.7892290592193604,0.04419425723455615,relu,0.0001,35,"(160, 120, 60)",0.0005,500,adam,"{'nn__activation': 'relu', 'nn__alpha': 0.0001, 'nn__batch_size': 35, 'nn__hidden_layer_sizes': (160, 120, 60), 'nn__learning_rate_init': 0.0005, 'nn__max_iter': 500, 'nn__solver': 'adam'}",-1618.4390832177007,-1561.7000479881667,-1603.5746147947145,-1576.2578319638906,-1545.0933060786022,-1581.012976808615,26.81627982040227,37
1347.480403280258,248.0499785672314,0.8455451965332031,0.07632705827570152,relu,0.0001,35,"(160, 120, 60)",0.0005,650,adam,"{'nn__activation': 'relu', 'nn__alpha': 0.0001, 'nn__batch_size': 35, 'nn__hidden_layer_sizes': (160, 120, 60), 'nn__learning_rate_init': 0.0005, 'nn__max_iter': 650, 'nn__solver': 'adam'}",-1618.4390832177007,-1561.7000479881667,-1603.5746147947145,-1576.2578319638906,-1545.0933060786022,-1581.012976808615,26.81627982040227,37
575.5593332290649,32.219953386215685,0.6731249809265136,0.04174024310612247,relu,0.0001,35,"(150, 100, 50)",0.002,500,adam,"{'nn__activation': 'relu', 'nn__alpha': 0.0001, 'nn__batch_size': 35, 'nn__hidden_layer_sizes': (150, 100, 50), 'nn__learning_rate_init': 0.002, 'nn__max_iter': 500, 'nn__solver': 'adam'}",-1566.1844981308618,-1585.6881275815763,-1620.0941555781114,-1565.9832879548796,-1570.5789042877716,-1581.70579470664,20.500930622149994,39
584.3460901260376,32.485095348497445,0.922089672088623,0.3348823601752925,relu,0.0001,35,"(150, 100, 50)",0.002,650,adam,"{'nn__activation': 'relu', 'nn__alpha': 0.0001, 'nn__batch_size': 35, 'nn__hidden_layer_sizes': (150, 100, 50), 'nn__learning_rate_init': 0.002, 'nn__max_iter': 650, 'nn__solver': 'adam'}",-1566.1844981308618,-1585.6881275815763,-1620.0941555781114,-1565.9832879548796,-1570.5789042877716,-1581.70579470664,20.500930622149994,39
728.4199577331543,132.41540870359128,0.8598593235015869,0.06201143844521458,relu,0.0001,35,"(160, 120, 60)",0.002,650,adam,"{'nn__activation': 'relu', 'nn__alpha': 0.0001, 'nn__batch_size': 35, 'nn__hidden_layer_sizes': (160, 120, 60), 'nn__learning_rate_init': 0.002, 'nn__max_iter': 650, 'nn__solver': 'adam'}",-1557.1951804646155,-1593.1692405455055,-1605.8204215829617,-1590.6250196752605,-1582.8664877431133,-1585.9352700022914,16.15644457415869,41
737.8781113147736,131.1241590047638,0.8617490291595459,0.04258434551424761,relu,0.0001,35,"(160, 120, 60)",0.002,500,adam,"{'nn__activation': 'relu', 'nn__alpha': 0.0001, 'nn__batch_size': 35, 'nn__hidden_layer_sizes': (160, 120, 60), 'nn__learning_rate_init': 0.002, 'nn__max_iter': 500, 'nn__solver': 'adam'}",-1557.1951804646155,-1593.1692405455055,-1605.8204215829617,-1590.6250196752605,-1582.8664877431133,-1585.9352700022914,16.15644457415869,41
